time,open,high,low,close,tick_volume,spread,real_volume
1724399700,1.11274,1.11275,1.11273,1.11274,9,0,0
1724399760,1.11274,1.11279,1.11273,1.11279,12,0,0
1724399820,1.11279,1.11279,1.11275,1.11278,13,0,0
1724399880,1.11278,1.11279,1.11278,1.11278,9,0,0
1724399940,1.11278,1.11279,1.11278,1.11278,7,0,0
1724400000,1.11278,1.11279,1.1126800000000001,1.1126800000000001,23,0,0
1724400060,1.1126800000000001,1.11278,1.1126800000000001,1.11276,25,0,0
1724400120,1.11276,1.11276,1.11274,1.11275,8,0,0
1724400180,1.11275,1.11278,1.11275,1.11277,9,0,0
1724400240,1.11277,1.11277,1.11275,1.11275,11,0,0
1724400300,1.11275,1.11275,1.11272,1.11274,22,0,0
1724400360,1.11274,1.11276,1.11273,1.11275,7,0,0
1724400420,1.11275,1.11279,1.11274,1.11274,19,0,0
1724400480,1.11274,1.11276,1.11274,1.11274,7,0,0
1724400540,1.11274,1.11274,1.1126800000000001,1.1127,9,0,0
1724400600,1.1127,1.11275,1.1127,1.11274,10,0,0
1724400660,1.11274,1.11274,1.1126800000000001,1.11269,15,0,0
1724400720,1.11269,1.11269,1.1126800000000001,1.11269,11,0,0
1724400780,1.11269,1.11269,1.11263,1.11265,9,0,0
1724400840,1.11265,1.11266,1.11263,1.11263,11,0,0
1724400900,1.11263,1.11263,1.11256,1.11257,17,0,0
1724400960,1.11257,1.11259,1.11256,1.11259,18,0,0
1724401020,1.11259,1.11266,1.11258,1.11266,11,0,0
1724401080,1.11265,1.11265,1.11264,1.11264,14,0,0
1724401140,1.11264,1.11267,1.11264,1.11267,8,0,0
1724401200,1.11267,1.11267,1.11264,1.11266,13,0,0
1724401260,1.11266,1.11271,1.11265,1.11269,35,0,0
1724401320,1.11269,1.11271,1.11264,1.1127,48,0,0
1724401380,1.1127,1.11271,1.11269,1.1127,37,0,0
1724401440,1.1127,1.11271,1.1126800000000001,1.11269,18,0,0
1724401500,1.11269,1.1128,1.11269,1.1128,25,0,0
1724401560,1.1128,1.11282,1.11278,1.11282,25,0,0
1724401620,1.11282,1.1129,1.11281,1.11286,13,0,0
1724401680,1.11286,1.11286,1.11278,1.11279,8,0,0
1724401740,1.11279,1.11281,1.11278,1.11278,10,0,0
1724401800,1.11278,1.11278,1.11273,1.11277,14,0,0
1724401860,1.11277,1.11283,1.11269,1.1127,33,0,0
1724401920,1.1127,1.11275,1.1127,1.11274,26,0,0
1724401980,1.11275,1.11276,1.11272,1.11273,54,0,0
1724402040,1.11273,1.11274,1.1126800000000001,1.11269,23,0,0
1724402100,1.1126800000000001,1.11275,1.1126800000000001,1.11274,40,0,0
1724402160,1.11274,1.11274,1.11267,1.11269,34,0,0
1724402220,1.11269,1.1127,1.1126800000000001,1.11269,27,0,0
1724402280,1.11269,1.1127,1.11263,1.11264,23,0,0
1724402340,1.11264,1.11264,1.11256,1.11263,26,0,0
1724402400,1.11263,1.11264,1.11262,1.11263,13,0,0
1724402460,1.11263,1.11264,1.11259,1.11259,10,0,0
1724402520,1.11259,1.11261,1.11254,1.11256,42,0,0
1724402580,1.11256,1.11256,1.11248,1.11249,26,0,0
1724402640,1.11249,1.1125,1.11248,1.11249,12,0,0
1724402700,1.11249,1.11253,1.11247,1.11253,17,0,0
1724402760,1.11253,1.11259,1.11253,1.11258,14,0,0
1724402820,1.11258,1.11261,1.11257,1.11258,20,0,0
1724402880,1.11258,1.1126800000000001,1.11258,1.1126800000000001,31,0,0
1724402940,1.1126800000000001,1.11273,1.1126800000000001,1.11271,27,0,0
1724403000,1.11272,1.11278,1.11271,1.11274,42,0,0
1724403060,1.11274,1.11276,1.1126800000000001,1.11274,34,0,0
1724403120,1.11274,1.11279,1.11273,1.11278,46,0,0
1724403180,1.11278,1.11278,1.1126800000000001,1.11269,30,0,0
1724403240,1.11269,1.11269,1.11255,1.11256,34,0,0
1724403300,1.11256,1.11262,1.11256,1.1126,34,0,0
1724403360,1.1126,1.11262,1.11257,1.11262,15,0,0
1724403420,1.11262,1.11269,1.11255,1.11257,25,0,0
1724403480,1.11257,1.1126,1.11249,1.11259,36,0,0
1724403540,1.11259,1.11261,1.11254,1.11261,38,0,0
1724403600,1.11261,1.11261,1.11238,1.11239,40,0,0
1724403660,1.1124,1.11243,1.11227,1.11228,80,0,0
1724403720,1.11228,1.11233,1.11224,1.11231,85,0,0
1724403780,1.11229,1.11229,1.11223,1.11225,57,0,0
1724403840,1.11225,1.1123,1.11222,1.11229,83,0,0
1724403900,1.11229,1.11233,1.11227,1.1123,18,0,0
1724403960,1.1123,1.11239,1.1123,1.1123,53,0,0
1724404020,1.1123,1.11236,1.11229,1.11233,87,0,0
1724404080,1.11233,1.11234,1.11228,1.11229,34,0,0
1724404140,1.11229,1.11234,1.11228,1.11229,30,0,0
1724404200,1.11229,1.11229,1.11218,1.1122,30,0,0
1724404260,1.1122,1.1122,1.11213,1.11218,34,0,0
1724404320,1.11218,1.1122,1.11216,1.11218,35,0,0
1724404380,1.11218,1.11226,1.11218,1.11221,25,0,0
1724404440,1.11221,1.11221,1.11217,1.11217,21,0,0
1724404500,1.11217,1.11218,1.11212,1.11213,25,0,0
1724404560,1.11213,1.11216,1.11208,1.11213,19,0,0
1724404620,1.11213,1.1122,1.11212,1.11216,34,0,0
1724404680,1.11216,1.11216,1.11208,1.11208,35,0,0
1724404740,1.11208,1.11209,1.11205,1.11205,26,0,0
1724404800,1.11205,1.11208,1.11205,1.1120700000000001,24,0,0
1724404860,1.1120700000000001,1.11215,1.11203,1.11204,37,0,0
1724404920,1.11204,1.11212,1.11203,1.11212,74,0,0
1724404980,1.11212,1.11219,1.11212,1.11214,19,0,0
1724405040,1.11214,1.11228,1.11213,1.11226,43,0,0
1724405100,1.11226,1.11228,1.11224,1.11227,30,0,0
1724405160,1.11228,1.11233,1.11228,1.11231,32,0,0
1724405220,1.11231,1.11241,1.1123,1.11231,29,0,0
1724405280,1.11231,1.11235,1.11226,1.11233,31,0,0
1724405340,1.11233,1.11233,1.11228,1.1123,30,0,0
1724405400,1.1123,1.11236,1.11228,1.11235,34,0,0
1724405460,1.11235,1.11237,1.11233,1.11234,40,0,0
1724405520,1.11234,1.11236,1.11224,1.11225,37,0,0
1724405580,1.11225,1.11231,1.11224,1.11229,16,0,0
1724405640,1.11229,1.1123,1.11226,1.1123,33,0,0
1724405700,1.1123,1.11239,1.11229,1.11235,22,0,0
1724405760,1.11235,1.11241,1.11234,1.11241,21,0,0
1724405820,1.11241,1.11247,1.11241,1.11245,17,0,0
1724405880,1.11245,1.1125099999999999,1.11245,1.11248,25,0,0
1724405940,1.11248,1.1126,1.11248,1.1126,20,0,0
1724406000,1.1126,1.11266,1.11258,1.11265,28,0,0
