time,open,high,low,close,tick_volume,spread,real_volume,ema_short,ema_long,macd,signal,macd_cross,macd_cross_prev,macd_event
1724404920,1.11204,1.11212,1.11203,1.11212,74,0,0,1.1121355145675116,1.1122441444265736,-0.00010862985906201494,-0.00011066292419800966,True,False,True
1724407140,1.11296,1.11299,1.11283,1.11285,69,0,0,1.1128819173516535,1.1127481306703721,0.00013378668128138926,0.00013971592134125497,False,True,True
1724407560,1.11317,1.1132,1.1131199999999999,1.11313,101,0,0,1.112949436613132,1.11283414901753,0.00011528759560208712,0.00010974094035405182,True,False,True
1724407740,1.11296,1.11299,1.11277,1.11278,91,0,0,1.1129503414347195,1.1128607843519234,8.955708279612118e-05,0.00010826510820115219,False,True,True
1724410320,1.11147,1.1117,1.11147,1.11167,45,0,0,1.1115832888093797,1.1118234667635187,-0.00024017795413899812,-0.00025899235001985684,True,False,True
1724411760,1.11188,1.11195,1.11188,1.11194,31,0,0,1.112008626403986,1.1119712282891807,3.739811480518718e-05,4.148552346412541e-05,False,True,True
1724411940,1.1120700000000001,1.1121,1.11197,1.1121,43,0,0,1.1120288219133843,1.1119887843325942,4.0037580790075467e-05,3.914711231980756e-05,True,False,True
1724412000,1.1121,1.1121,1.11193,1.11201,43,0,0,1.112025926234402,1.1119903558635131,3.557037088897097e-05,3.843176403364025e-05,False,True,True
1724412360,1.1121,1.11225,1.1121,1.11225,46,0,0,1.112041600516147,1.1120070242038504,3.4576312296641376e-05,2.5498166197131533e-05,True,False,True
1724412720,1.1121,1.1121,1.11204,1.11205,43,0,0,1.1121103396658096,1.1120639379625537,4.6401703255982696e-05,4.725262177178898e-05,False,True,True
1724413020,1.11222,1.11225,1.11217,1.1122,31,0,0,1.1121394032570457,1.1120938132127804,4.559004426529789e-05,4.431900302832175e-05,True,False,True
1724413860,1.11236,1.11236,1.11225,1.11227,32,0,0,1.1122906214430734,1.112227454462351,6.31669807225066e-05,6.415412446228505e-05,False,True,True
1724415180,1.11237,1.1124,1.11231,1.11238,37,0,0,1.1122735247164919,1.1122571883704104,1.6336346081446962e-05,8.960145851036427e-06,True,False,True
1724416200,1.11252,1.11255,1.11243,1.11249,69,0,0,1.1125252238484409,1.1124534282225795,7.179562586134836e-05,7.628500359273461e-05,False,True,True
1724418300,1.1116,1.11178,1.11158,1.11175,65,0,0,1.1117320844707836,1.111900948581476,-0.00016886411069227947,-0.00017247503722870783,True,False,True
1724419080,1.11179,1.11179,1.11157,1.11159,71,0,0,1.1117889722039354,1.1118569755167576,-6.800331282219574e-05,-6.360065298689573e-05,False,True,True
